src_type,src,dest_type,dest,direction,type
SYMBOL,AKT3,SYMBOL,BAD,directed,Process(inhibition)
SYMBOL,CDK4,SYMBOL,CDK6,undirected,Binding
SYMBOL,CDK4,SYMBOL,RB1,directed,Process(phosphorylation)
SYMBOL,CDK4,SYMBOL,RB1,directed,Process(activation)
SYMBOL,CDK4,SYMBOL,CCND1,undirected,Binding
SYMBOL,CDK6,SYMBOL,RB1,directed,Process(phosphorylation)
SYMBOL,CDK6,SYMBOL,RB1,directed,Process(activation)
SYMBOL,CDK6,SYMBOL,CCND1,undirected,Binding
SYMBOL,CDKN1A,SYMBOL,CDK4,directed,Process(inhibition)
SYMBOL,CDKN1A,SYMBOL,CDK6,directed,Process(inhibition)
SYMBOL,CDKN1A,SYMBOL,CCND1,directed,Process(inhibition)
SYMBOL,CDKN2A,SYMBOL,CDK4,directed,Process(missing interaction)
SYMBOL,CDKN2A,SYMBOL,CDK6,directed,Process(missing interaction)
SYMBOL,CDKN2A,SYMBOL,MDM2,directed,Process(missing interaction)
SYMBOL,CDKN2A,SYMBOL,CCND1,directed,Process(missing interaction)
SYMBOL,E2F1,SYMBOL,RB1,directed,Process(dissociation)
SYMBOL,E2F2,SYMBOL,RB1,directed,Process(dissociation)
SYMBOL,E2F3,SYMBOL,RB1,directed,Process(dissociation)
SYMBOL,EGF,SYMBOL,EGFR,directed,Process(activation)
SYMBOL,EGF,SYMBOL,FGFR1,directed,Process(activation)
SYMBOL,EGF,SYMBOL,IGF1R,directed,Process(activation)
SYMBOL,EGF,SYMBOL,MET,directed,Process(activation)
SYMBOL,EGF,SYMBOL,PDGFRA,directed,Process(activation)
SYMBOL,EGF,SYMBOL,PDGFRB,directed,Process(activation)
SYMBOL,EGFR,SYMBOL,HRAS,directed,Process(activation)
SYMBOL,EGFR,SYMBOL,KRAS,directed,Process(activation)
SYMBOL,EGFR,SYMBOL,NRAS,directed,Process(activation)
SYMBOL,AKT1,SYMBOL,BAD,directed,Process(inhibition)
SYMBOL,AKT2,SYMBOL,BAD,directed,Process(inhibition)
SYMBOL,FGF1,SYMBOL,EGFR,directed,Process(activation)
SYMBOL,FGF1,SYMBOL,FGFR1,directed,Process(activation)
SYMBOL,FGF1,SYMBOL,IGF1R,directed,Process(activation)
SYMBOL,FGF1,SYMBOL,MET,directed,Process(activation)
SYMBOL,FGF1,SYMBOL,PDGFRA,directed,Process(activation)
SYMBOL,FGF1,SYMBOL,PDGFRB,directed,Process(activation)
SYMBOL,FGF2,SYMBOL,EGFR,directed,Process(activation)
SYMBOL,FGF2,SYMBOL,FGFR1,directed,Process(activation)
SYMBOL,FGF2,SYMBOL,IGF1R,directed,Process(activation)
SYMBOL,FGF2,SYMBOL,MET,directed,Process(activation)
SYMBOL,FGF2,SYMBOL,PDGFRA,directed,Process(activation)
SYMBOL,FGF2,SYMBOL,PDGFRB,directed,Process(activation)
SYMBOL,FGF3,SYMBOL,EGFR,directed,Process(activation)
SYMBOL,FGF3,SYMBOL,FGFR1,directed,Process(activation)
SYMBOL,FGF3,SYMBOL,IGF1R,directed,Process(activation)
SYMBOL,FGF3,SYMBOL,MET,directed,Process(activation)
SYMBOL,FGF3,SYMBOL,PDGFRA,directed,Process(activation)
SYMBOL,FGF3,SYMBOL,PDGFRB,directed,Process(activation)
SYMBOL,FGF4,SYMBOL,EGFR,directed,Process(activation)
SYMBOL,FGF4,SYMBOL,FGFR1,directed,Process(activation)
SYMBOL,FGF4,SYMBOL,IGF1R,directed,Process(activation)
SYMBOL,FGF4,SYMBOL,MET,directed,Process(activation)
SYMBOL,FGF4,SYMBOL,PDGFRA,directed,Process(activation)
SYMBOL,FGF4,SYMBOL,PDGFRB,directed,Process(activation)
SYMBOL,FGF5,SYMBOL,EGFR,directed,Process(activation)
SYMBOL,FGF5,SYMBOL,FGFR1,directed,Process(activation)
SYMBOL,FGF5,SYMBOL,IGF1R,directed,Process(activation)
SYMBOL,FGF5,SYMBOL,MET,directed,Process(activation)
SYMBOL,FGF5,SYMBOL,PDGFRA,directed,Process(activation)
SYMBOL,FGF5,SYMBOL,PDGFRB,directed,Process(activation)
SYMBOL,FGF6,SYMBOL,EGFR,directed,Process(activation)
SYMBOL,FGF6,SYMBOL,FGFR1,directed,Process(activation)
SYMBOL,FGF6,SYMBOL,IGF1R,directed,Process(activation)
SYMBOL,FGF6,SYMBOL,MET,directed,Process(activation)
SYMBOL,FGF6,SYMBOL,PDGFRA,directed,Process(activation)
SYMBOL,FGF6,SYMBOL,PDGFRB,directed,Process(activation)
SYMBOL,FGF7,SYMBOL,EGFR,directed,Process(activation)
SYMBOL,FGF7,SYMBOL,FGFR1,directed,Process(activation)
SYMBOL,FGF7,SYMBOL,IGF1R,directed,Process(activation)
SYMBOL,FGF7,SYMBOL,MET,directed,Process(activation)
SYMBOL,FGF7,SYMBOL,PDGFRA,directed,Process(activation)
SYMBOL,FGF7,SYMBOL,PDGFRB,directed,Process(activation)
SYMBOL,FGF8,SYMBOL,EGFR,directed,Process(activation)
SYMBOL,FGF8,SYMBOL,FGFR1,directed,Process(activation)
