node1,node2
MAP3K3,MAPK14
CASP8,CASP3
CASP8,BID
MAP3K1,MAP2K7
MAP3K1,MAP2K4
PAK3,MAP2K2
PAK3,LIMK1
PAK3,MAP3K1
PAK3,BAD
PAK3,RAF1
PAK3,BRAF
PAK3,CTNNB1
CHEK2,MDM4
CHEK2,TP53
PPP1CC,RB1
PPP1CC,YWHAH
PPP1CC,BAD
SPINT2,HGF
SPINT1,HGF
ST14,HGF
GSK3B,GSK3A
USP7,TP53
MAPK3,FOS
MAPK3,JUN
MAPK3,MYC
CYLD,BCL3
RCE1,HRAS
GZMB,BID
GZMB,BAD
PSMD10,TP53
GNA12,PLCG1
GNA12,ADCY5
GNA12,RAC1
NUMB,NOTCH2
MMP3,MMP1
PRKCE,PRKCQ
GNAS,ADCY5
HGFAC,HGF
PDPK1,PRKCQ
MDM2,TP53
BAD,BID
BAD,BCL2L11
ZDHHC9,HRAS
HPN,HGF
ATM,CHEK2
ATM,HNRNPK
ATM,TP53
ATM,STRAP
ATM,MDM4
ATM,MDM2
PMAIP1,BID
PTPN3,STAT3
BRAF,MAP2K2
CYR61,MMP2
ICMT,HRAS
SOS1,HRAS
STK11,PRKAA1
MAPK3,MAP2K2
MAPK3,BRAF
MAPK3,RPS6KA3
MAPK3,MITF
MAPK3,SOS1
SOCS2,STAT3
EGLN2,HIF1A
EGLN2,EPAS1
BID,BAX
BID,BAK1
VIM,MAPK3
CASP7,BAD
RPS6KA3,MITF
RPS6KA3,BAD
CHEK1,TP53
RAPGEF1,RAP1B
BAK1,CYCS
BAK1,HTRA2
BAK1,DIABLO
PDPK1,AKT1
USP29,TP53
MMP14,MMP2
CDC42,MAPK14
CDC42,PAK3
NRAS,BRAF
MAPK14,MAPKAPK2
GNAT2,PLCG1
HIPK2,TP53
YY1,TP53
MAP2K2,MAPK3
MAP2K4,MAPK8IP1
MAP3K6,MAPK14
MAPKAPK2,CREB1
TIAM1,CDC42
TIAM1,RAC1
CSNK2A1,CTNNB1
CSNK2A1,PTEN
LIMK1,CFL2
EP300,TP53
PMAIP1,BCL2L11
BCL2L11,BAK1
BCL2L11,BAX
MAP2K7,MAPK8IP1
ADAM10,CTNND1
ADAM10,CTNNB1
ADAM10,CTNNA1
ADAM10,CDH1
HRAS,BRAF
PRKCQ,MARCKS
PRKCQ,BRAF
RAP1B,BRAF
RAF1,BAD
IQGAP1,ACTG1
UBE4B,TP53
BAX,CYCS
BAX,HTRA2
BAX,DIABLO
RAC1,MAPK14
RAC1,PAK3
AKT1,BAX
AKT1,BAD
AKT1,GSK3A
AKT1,CASP9
AKT1,FOXO3
AKT1,MDM2
ADAM17,TNF
ATR,CHEK1
ATR,TP53
USP42,TP53
DUSP7,MAPK3
CASP8,BAD
PPP3CA,YWHAH
PPP3CA,BAD
PPP3CA,NFATC3
CASP3,BAD
SKI,SMAD2
CASP9,CASP7
CASP9,CASP3
