pathway,nodes
Glycolysis / Gluconeogenesis,AKR1A1
Glycolysis / Gluconeogenesis,DLAT
Glycolysis / Gluconeogenesis,HK1
Glycolysis / Gluconeogenesis,PCK1
Glycolysis / Gluconeogenesis,GCK
Glycolysis / Gluconeogenesis,HK3
Glycolysis / Gluconeogenesis,ENO3
Glycolysis / Gluconeogenesis,PFKM
Glycolysis / Gluconeogenesis,ADH1B
Glycolysis / Gluconeogenesis,G6PC2
Glycolysis / Gluconeogenesis,BPGM
Glycolysis / Gluconeogenesis,PGM1
Glycolysis / Gluconeogenesis,ACSS2
Glycolysis / Gluconeogenesis,PGAM2
Glycolysis / Gluconeogenesis,ADPGK
Glycolysis / Gluconeogenesis,PCK2
Glycolysis / Gluconeogenesis,ALDH3B1
Glycolysis / Gluconeogenesis,PKLR
Glycolysis / Gluconeogenesis,ENO4
Glycolysis / Gluconeogenesis,PGAM4
Glycolysis / Gluconeogenesis,PGK2
Glycolysis / Gluconeogenesis,ALDH3B2
Glycolysis / Gluconeogenesis,ADH1C
Glycolysis / Gluconeogenesis,PGM2
Glycolysis / Gluconeogenesis,PDHA1
Glycolysis / Gluconeogenesis,LDHB
Glycolysis / Gluconeogenesis,GAPDHS
Glycolysis / Gluconeogenesis,LDHA
Glycolysis / Gluconeogenesis,ALDH7A1
Glycolysis / Gluconeogenesis,FBP2
Glycolysis / Gluconeogenesis,ADH1A
Glycolysis / Gluconeogenesis,ALDH3A1
Glycolysis / Gluconeogenesis,ADH7
Glycolysis / Gluconeogenesis,G6PC3
Glycolysis / Gluconeogenesis,ALDH9A1
Glycolysis / Gluconeogenesis,G6PC1
Glycolysis / Gluconeogenesis,DLD
Glycolysis / Gluconeogenesis,ENO2
Glycolysis / Gluconeogenesis,LDHC
Glycolysis / Gluconeogenesis,HK2
Glycolysis / Gluconeogenesis,PGK1
Glycolysis / Gluconeogenesis,GPI
Glycolysis / Gluconeogenesis,LDHAL6B
Glycolysis / Gluconeogenesis,PGAM1
Glycolysis / Gluconeogenesis,ALDH1B1
Glycolysis / Gluconeogenesis,GAPDH
Glycolysis / Gluconeogenesis,ACSS1
Glycolysis / Gluconeogenesis,TPI1
Glycolysis / Gluconeogenesis,ALDH2
Glycolysis / Gluconeogenesis,ALDOA
Glycolysis / Gluconeogenesis,PDHA2
Glycolysis / Gluconeogenesis,FBP1
Glycolysis / Gluconeogenesis,PFKL
Glycolysis / Gluconeogenesis,LDHAL6A
Glycolysis / Gluconeogenesis,ALDOB
Glycolysis / Gluconeogenesis,PKM
Glycolysis / Gluconeogenesis,ADH4
Glycolysis / Gluconeogenesis,ALDH3A2
Glycolysis / Gluconeogenesis,HKDC1
Glycolysis / Gluconeogenesis,PDHB
Glycolysis / Gluconeogenesis,MINPP1
Glycolysis / Gluconeogenesis,PFKP
Glycolysis / Gluconeogenesis,ADH5
Glycolysis / Gluconeogenesis,ADH6
Glycolysis / Gluconeogenesis,ENO1
Glycolysis / Gluconeogenesis,ALDOC
Glycolysis / Gluconeogenesis,GALM
Citrate cycle (TCA cycle),DLAT
Citrate cycle (TCA cycle),IDH2
Citrate cycle (TCA cycle),SUCLG2
Citrate cycle (TCA cycle),PCK1
Citrate cycle (TCA cycle),PCK2
Citrate cycle (TCA cycle),DLST
Citrate cycle (TCA cycle),MDH1
Citrate cycle (TCA cycle),SDHC
Citrate cycle (TCA cycle),SDHD
Citrate cycle (TCA cycle),PDHA1
Citrate cycle (TCA cycle),ACO2
